Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
2h 2d 2c	100	56.88	19.4385	113.919	43.12	10.5618	81.6428	60.1	19.81	37.01	19.15	1.54	17.86	1.36	12.61
3c 2d 2c	100	54.56	15.0793	92.1183	45.44	14.9207	109.465	0.18	19.36	7.53	18.55	35.14	17.59	57.16	13.07
3d 3c 2c	100	54.48	14.5947	89.2974	45.52	15.4055	112.811	0.07	20.38	1.79	18.2	30.6	17.54	67.54	13.16
3h 3d 3c	100	56.19	18.2812	108.453	43.81	11.7189	89.1601	52.12	18.95	39.39	18.34	3.05	17.17	5.44	12.11
3h 3d 2c	100	54.73	14.753	89.8465	45.27	15.2471	112.278	2.86	18.81	11.89	18.37	28.74	17.1	56.51	12.59
3h 2d 2c	100	54.79	15.325	93.2345	45.21	14.6749	108.198	9.06	19.1	15.09	18.4	28.01	17.14	47.85	12.57
4c 2d 2c	100	54.81	15.1219	91.9582	45.19	14.8786	109.759	0.16	19.52	8.67	18.53	35.42	17.6	55.76	13.01
4c 3c 2c	100	52.87	15.1038	95.2218	47.13	14.8964	105.362	0.62	20.13	1.83	19.12	25.1	17.82	72.45	14.02
4c 3c 2d	100	52.78	13.8672	87.581	47.22	16.1331	113.883	0.32	19.88	1.31	18.78	12.25	17.52	86.12	13.25
4c 3d 3c	100	53.59	13.9957	87.0491	46.41	16.0044	114.957	0.03	22.74	1.05	18.27	19.05	17.72	79.87	13.05
4c 3d 2c	100	52.71	13.7912	87.2182	47.29	16.2088	114.245	0.28	19.92	1.15	18.81	10.04	17.55	88.53	13.28
4d 4c 2c	100	55.07	15.4564	93.5611	44.93	14.5438	107.893	0.05	20.08	3.88	18.43	41.53	17.79	54.54	13.46
4d 4c 3c	100	54.08	14.9307	92.0216	45.92	15.0694	109.398	0.16	19.37	3.5	18.43	32.31	17.78	64.03	13.29
4h 4d 4c	100	56.82	19.4817	114.282	43.18	10.5185	81.2057	53.75	19.81	41.25	19.27	4.35	18.36	0.65	12.97
4d 3c 2c	100	52.76	13.8817	87.6981	47.24	16.1187	113.744	0.33	19.88	1.3	18.81	12.38	17.54	86	13.26
4h 4d 2c	100	55.37	15.7286	94.6829	44.63	14.2714	106.598	5.32	18.99	17.33	18.59	30.91	17.57	46.44	13.06
4h 4d 3c	100	54.24	15.0061	92.221	45.76	14.9941	109.222	2.85	18.97	13.11	18.66	25.47	17.54	58.58	12.89
4h 2d 2c	100	55.11	15.3908	93.0876	44.89	14.6093	108.487	11.4	18.88	18.43	18.25	23.7	17.26	46.47	12.45
4h 3d 3c	100	53.76	13.9113	86.2547	46.24	16.0886	115.981	1.33	18.52	9.32	18.41	18.12	17.37	71.23	12.36
4h 3d 2c	100	52.75	13.5351	85.5289	47.25	16.4652	116.158	0.57	20.09	1.76	18.49	11.75	17.09	85.92	12.9
5c 2d 2c	100	54.57	14.8505	90.7164	45.43	15.1496	111.15	0.24	19.26	7.97	18.45	31.85	17.54	59.94	12.93
5c 3c 2c	100	53.03	15.1445	95.2	46.97	14.8557	105.421	0.57	20.13	1.88	19.09	26.84	17.71	70.71	14.03
5c 3c 2d	100	53.1	14.2661	89.5527	46.9	15.7343	111.832	0.47	19.84	1.85	18.97	21.86	17.53	75.82	13.17
5c 3d 3c	100	53.38	13.7784	86.0384	46.62	16.2221	115.99	0.03	23.36	1.12	18.26	17.23	17.54	81.62	12.92
5c 3d 2c	100	53.03	14.1876	89.1802	46.97	15.8126	112.217	0.48	19.92	1.66	19.02	20.02	17.55	77.85	13.18
5c 4c 2c	100	52.11	14.4647	92.5334	47.89	15.5347	108.119	0.47	19.7	1.37	18.67	19.21	17.51	78.95	13.62
5c 4c 2d	100	51.92	12.6687	81.3288	48.08	17.3315	120.167	0.1	20.05	0.38	18.24	1.18	17.03	98.35	12.59
5c 4c 3c	100	50.96	14.0641	91.9933	49.04	15.9365	108.325	0.51	19.89	1.27	19.06	15.14	17.76	83.08	13.28
5c 4c 3d	100	50.14	11.6833	77.673	49.86	18.3177	122.458	0.01	30.13	0	26.81	0.03	17.25	99.96	11.68
5c 4d 4c	100	53.47	14.5011	90.4033	46.53	15.4991	111.028	0.21	20.76	3.56	18.67	24.64	17.86	71.59	13.12
5c 4d 2c	100	51.83	12.5916	80.9862	48.17	17.4086	120.456	0.08	20.05	0.3	18.34	0.85	16.95	98.76	12.53
5c 4d 3c	100	50.11	11.6859	77.7272	49.89	18.3148	122.38	0.01	23.86	0.01	29.43	0.04	18.7	99.94	11.68
5d 5c 2c	100	54.72	14.8046	90.1918	45.28	15.1959	111.854	0.06	20.59	0.91	18.12	28.02	17.75	71.01	13.59
5d 5c 3c	100	53.77	14.3555	88.9971	46.23	15.6448	112.799	0.06	21.24	0.75	18.32	21.93	17.65	77.27	13.38
5d 5c 4c	100	53.43	14.18	88.4647	46.57	15.8202	113.236	0.09	20.97	0.81	18.31	18.49	17.72	80.6	13.32
5h 5d 5c	100	56.76	18.464	108.433	43.24	11.5361	88.9307	41.4	18.96	42.87	18.44	14.75	17.56	0.98	12.48
5d 3c 2c	100	53.14	14.3527	90.0352	46.86	15.6479	111.303	0.5	19.87	2.07	18.95	22.93	17.58	74.5	13.19
5d 4c 2c	100	51.88	12.6725	81.4235	48.12	17.3276	120.028	0.1	20.11	0.48	18.17	1.31	17.06	98.11	12.58
5d 4c 3c	100	50.17	11.7747	78.2353	49.83	18.2261	121.917	0.02	22.66	0.02	23.11	0.07	17.18	99.9	11.77
5h 5d 2c	100	55.08	14.9914	90.717	44.92	15.0089	111.387	0.25	18.78	8.37	18.45	28.28	17.77	63.1	13.27
5h 5d 3c	100	53.98	14.3839	88.8164	46.02	15.6164	113.122	0.29	19.65	4.96	18.41	22.6	17.64	72.14	13.07
5h 5d 4c	100	53.52	13.89	86.502	46.48	16.1105	115.549	0.19	20.63	2.63	18.33	16.07	17.6	81.11	13
5h 2d 2c	100	54.94	15.1289	91.7968	45.06	14.8711	110.001	12.1	18.67	16.57	18.2	21.14	17.24	50.18	12.37
5h 3d 3c	100	53.62	13.7317	85.3695	46.38	16.2687	116.915	1.83	18.65	8.51	18.26	16.56	17.33	73.09	12.27
5h 3d 2c	100	53.16	14.0951	88.3899	46.84	15.9049	113.174	1.37	19.91	3.56	18.55	20.79	17.18	74.28	12.91
5h 4d 4c	100	53.57	14.2414	88.6223	46.43	15.7587	113.126	0.32	19.12	6.97	18.7	19.07	17.74	73.63	12.89
5h 4d 2c	100	51.86	12.0158	77.2367	48.14	17.9845	124.522	0.05	20.04	0.15	17.01	0.52	16.1	99.28	11.98
5h 4d 3c	100	49.99	10.9172	72.8033	50.01	19.0834	127.185	0	1.93	0	nan	0.01	16.7	99.99	10.92
6c 2d 2c	100	54.39	15.0814	92.4195	45.61	14.9188	109.043	0.54	18.72	13.63	18.21	31.61	17.41	54.23	12.9
6c 3c 2c	100	52.8	15.1522	95.6621	47.2	14.8479	104.853	0.4	19.37	1.65	18.28	35.8	17.4	62.16	13.75
6c 3c 2d	100	52.85	14.3453	90.4792	47.15	15.6549	110.673	2.2	19.55	12.59	18.48	19.59	17.44	65.62	12.45
6c 3d 3c	100	53.49	14.0678	87.659	46.51	15.9328	114.2	0.03	21.83	1.9	17.83	25.68	17.33	72.39	12.81
